pos	ac	het	n
6780	1	1	200
6796	14	14	200
7077	61	41	200
7249	1	1	200
7314	125	43	200
7336	61	41	200
7369	2	2	200
7406	2	2	200
7466	198	2	200
7469	198	2	200
7480	1	1	200
7487	198	2	200
7533	58	40	200
7543	2	2	200
7611	59	41	200
7686	60	42	200
7827	60	42	200
7918	16	14	200
12	5	5	182
138	4	4	174
175	5	5	182
128	198	2	200
167	2	2	200
333	40	30	200
510	2	2	200
680	181	17	200
753	181	17	200
775	18	16	200
984	198	2	200
1010	2	2	200
1141	2	2	200
1145	198	2	200
1250	196	4	200
1251	4	4	200
1269	196	4	200
1344	2	2	200
1366	198	2	200
1383	2	2	200
1629	155	39	200
1836	26	26	200
1866	2	2	200
2181	125	49	200
2211	24	24	200
2321	47	41	200
2441	26	26	200
2468	199	1	200
2573	125	47	200
2595	200	0	200
2786	124	48	200
115	61	61	148
132	6	6	180
204	3	3	198
215	10	10	138
248	4	4	192
321	2	2	190
392	35	35	130
747	80	80	174
768	1	1	198
938	15	15	148
976	14	14	142
998	56	54	136
1000	13	13	140
1021	2	2	198
1095	61	59	148
1211	6	6	158
1302	7	7	192
1329	36	36	140
1360	12	12	134
1394	1	1	198
1427	28	28	136
1457	7	7	174
1475	58	56	142
1491	8	8	166
1493	57	55	146
1497	41	41	150
1512	46	46	152
1575	1	1	196
1611	2	2	200
1613	3	3	184
1636	3	3	170
1679	3	3	170
1767	1	1	196
1772	2	2	188
1932	99	99	200
1956	8	8	166
1996	4	4	166
2000	1	1	192
2064	33	33	132
2094	21	21	160
2134	7	7	168
2246	55	55	138
2286	101	97	200
2310	60	58	148
2320	58	56	142
2339	54	52	130
2347	16	16	144
2357	56	56	146
2454	14	14	144
2477	1	1	200
50	20	18	200
71	6	6	200
79	2	2	200
165	19	17	200
190	12	12	200
271	20	18	200
339	22	20	200
371	158	32	200
444	180	18	200
523	200	0	200
633	200	0	200
710	21	17	200
1221	1	1	200
1443	21	19	200
1479	179	19	200
227	6	6	190
314	98	98	200
328	102	98	200
373	12	12	168
390	1	1	198
513	1	1	192
713	4	4	174
742	5	5	190
815	4	4	196
921	1	1	200
1011	77	77	168
1050	90	84	192
1069	31	31	140
1134	14	14	160
1276	4	4	182
3	6	6	200
81	2	2	200
109	18	16	200
122	193	5	200
172	2	2	200
174	200	0	200
246	117	47	200
434	42	32	200
544	75	41	200
607	9	9	200
751	25	21	200
1104	2	2	200
1121	3	3	200
1788	152	38	200
1804	46	36	200
1888	48	38	200
2069	118	48	200
2199	200	0	200
2205	200	0	200
2225	17	13	200
2476	7	7	200
2768	2	2	200
2850	198	2	200
2853	198	2	200
2941	11	9	200
2976	2	2	200
2991	12	12	200
3057	84	46	200
3064	117	47	200
3103	82	48	200
3119	118	48	200
3213	1	1	200
3263	18	16	200
3399	1	1	200
3734	2	2	200
3973	5	3	200
4050	121	45	200
4076	118	48	200
4154	2	2	200
4211	5	5	200
4361	48	38	200
4386	74	42	200
4604	2	2	200
4734	73	43	200
4776	6	6	200
4993	118	48	200
5038	14	12	200
5152	119	47	200
5351	3	3	200
5437	1	1	200
5597	13	13	200
5626	186	12	200
5963	3	3	200
5978	82	48	200
6091	2	2	200
6101	6	6	200
6287	200	0	200
6652	200	0	200
6708	200	0	200
6945	200	0	200
7053	25	21	200
7249	1	1	200
7967	1	1	200
8041	2	2	200
8117	7	5	200
8119	200	0	200
8399	14	12	200
8425	1	1	200
8432	2	2	200
8488	1	1	200
8551	8	6	200
8628	2	2	200
8777	117	47	200
9381	26	22	200
9403	2	2	200
9504	187	13	200
9570	13	13	200
9575	187	13	200
9700	118	48	200
10119	19	15	200
10129	200	0	200
10150	45	35	200
10273	3	3	200
10302	82	48	200
10399	200	0	200
10429	2	2	200
10921	117	47	200
11057	81	47	200
11133	200	0	200
11154	81	47	200
11219	200	0	200
11258	200	0	200
11749	16	14	200
11878	120	46	200
12009	2	2	200
12162	5	5	200
12277	1	1	200
12299	1	1	200
12374	25	21	200
12443	1	1	200
12481	1	1	200
12547	1	1	200
12636	26	22	200
13286	33	27	200
13357	197	3	200
13483	3	3	200
13890	200	0	200
13977	6	2	200
14023	81	47	200
14240	200	0	200
14345	8	8	200
14395	2	2	200
14411	1	1	200
14526	10	8	200
14798	2	2	200
14824	200	0	200
14897	200	0	200
14996	200	0	200
15019	200	0	200
15059	200	0	200
15292	200	0	200
15346	6	6	200
148	58	58	154
252	1	1	192
318	6	6	178
521	3	3	186
549	2	2	200
1	1	1	200
126	3	3	200
133	29	27	200
179	170	28	200
193	29	27	200
195	8	8	200
238	1	1	200
304	1	1	200
366	31	27	200
419	31	27	200
445	30	28	200
708	30	28	200
732	166	26	200
741	29	27	200
777	167	27	200
792	167	27	200
1049	8	8	200
1275	170	28	200
1325	63	49	200
1383	1	1	200
1414	3	3	200
1452	200	0	200
1472	170	28	200
1597	199	1	200
1654	2	0	200
1698	30	26	200
1803	30	28	200
1827	1	1	200
1926	34	30	200
1936	30	28	200
2030	6	6	200
2043	31	29	200
2044	169	29	200
2050	169	29	200
2057	34	26	200
2081	5	5	200
2090	48	36	200
2201	8	8	200
2205	170	28	200
2325	30	28	200
2338	171	27	200
2340	30	28	200
2375	126	62	200
2500	1	1	200
2532	1	1	200
2542	66	50	200
2794	1	1	200
3154	30	28	200
3169	169	27	200
3311	27	25	200
3378	55	45	200
3494	2	2	200
3591	31	27	200
3627	169	27	200
3630	30	28	200
3837	15	11	200
4049	170	28	200
4120	30	28	200
4121	170	28	200
4277	171	27	200
4338	169	27	200
4492	3	3	200
4570	1	1	200
4779	1	1	200
5000	30	28	200
5031	38	32	200
5151	29	27	200
5166	170	28	200
5219	2	2	200
5263	43	35	200
5472	5	5	200
5480	6	6	200
5712	3	3	200
5770	1	1	200
5836	169	27	200
5921	1	1	200
6277	171	27	200
6299	45	35	200
6575	1	1	200
6606	7	7	200
6625	1	1	200
6649	170	28	200
6710	30	28	200
6718	64	50	200
6734	66	50	200
6900	8	8	200
7186	18	18	200
7322	30	28	200
7585	170	28	200
7647	200	0	200
7681	1	1	200
7712	31	27	200
7748	9	9	200
7767	1	1	200
7782	126	58	200
7924	1	1	200
7945	171	27	200
8041	136	52	200
8062	136	48	200
8103	64	52	200
8138	105	53	200
8169	64	52	200
8242	53	45	200
8293	170	28	200
8360	45	35	200
8402	200	0	200
8429	200	0	200
8440	30	28	200
8521	34	26	200
8567	2	2	200
8812	1	1	200
8944	171	27	200
8968	30	28	200
8992	54	44	200
9204	44	36	200
9265	1	1	200
9276	8	8	200
9308	1	1	200
9333	1	1	200
9337	30	26	200
9582	170	28	200
9622	3	3	200
9709	170	28	200
9748	30	28	200
9755	53	45	200
10036	5	5	200
10111	170	28	200
10135	9	9	200
10251	168	26	200
10576	48	36	200
10634	197	3	200
10669	3	3	200
10674	167	31	200
10867	1	1	200
10902	170	28	200
10913	43	35	200
11068	30	28	200
11408	169	27	200
11451	30	28	200
11572	170	28	200
11613	116	46	200
11645	53	45	200
11652	55	45	200
11668	53	45	200
11695	116	46	200
11768	31	27	200
11931	30	28	200
12131	200	0	200
12181	200	0	200
12248	30	28	200
12302	27	25	200
12507	30	28	200
12763	200	0	200
12767	62	46	200
12780	200	0	200
13068	200	0	200
13102	3	3	200
13112	200	0	200
13116	1	1	200
13139	200	0	200
13174	1	1	200
13223	44	36	200
13352	44	36	200
13356	1	1	200
13382	31	27	200
13529	31	27	200
13561	1	1	200
13695	14	14	200
13773	30	28	200
13792	5	5	200
13935	30	28	200
13936	170	28	200
13940	169	27	200
13986	30	28	200
13989	30	28	200
14081	170	26	200
14110	171	27	200
14124	171	27	200
14129	29	27	200
14159	30	28	200
14303	3	3	200
14304	170	26	200
14396	169	27	200
14419	31	27	200
14496	6	4	200
14516	1	1	200
14694	1	1	200
15096	30	28	200
15147	170	28	200
15316	200	0	200
15364	3	3	200
15499	1	1	200
15514	1	1	200
15568	31	25	200
15571	200	0	200
15577	29	27	200
15844	6	6	200
15848	6	6	200
15851	194	6	200
15890	194	6	200
15891	1	1	200
15941	168	30	200
15943	3	3	200
15990	35	27	200
16006	19	19	200
16110	29	27	200
16199	1	1	200
16207	1	1	200
16219	199	1	200
16247	1	1	200
16258	1	1	200
16312	5	5	200
16339	31	29	200
16367	30	28	200
16404	199	1	200
16458	170	28	200
16478	170	28	200
16506	6	4	200
16564	2	2	200
16704	124	60	200
16850	5	5	200
16935	9	9	200
16993	30	28	200
17247	30	28	200
17411	170	28	200
17539	30	28	200
17554	170	28	200
17673	3	3	200
17686	44	36	200
17690	61	45	200
17816	1	1	200
17898	200	0	200
18074	1	1	200
18247	23	21	200
18251	23	21	200
18425	13	13	200
18452	1	1	200
18537	151	39	200
18545	30	28	200
18550	31	27	200
18560	123	61	200
18564	5	5	200
18591	156	36	200
18599	5	5	200
18611	31	27	200
18719	45	33	200
18720	1	1	200
18727	50	38	200
18746	149	37	200
18809	194	4	200
18916	44	34	200
18971	31	29	200
19022	1	1	200
19269	5	5	200
9	7	5	200
61	7	5	200
91	193	5	200
99	193	5	200
118	192	6	200
121	0	0	200
146	45	37	200
231	1	1	200
243	199	1	200
247	199	1	200
296	88	48	200
325	199	1	200
343	23	17	200
362	1	1	200
374	1	1	200
390	4	4	200
449	200	0	200
533	200	0	200
580	4	4	200
704	4	4	200
830	200	0	200
1009	1	1	200
1398	200	0	200
1400	200	0	200
1405	200	0	200
1436	111	47	200
1441	109	47	200
2014	1	1	200
2208	4	4	200
2210	1	1	200
2238	7	7	200
2366	4	4	200
2462	99	53	200
2496	1	1	200
2561	200	0	200
2586	45	37	200
2744	2	2	200
2764	4	2	200
2849	4	2	200
2862	4	2	200
2875	37	25	200
2994	4	4	200
3020	111	47	200
3116	200	0	200
3161	1	1	200
3449	8	4	200
3648	1	1	200
3689	109	47	200
4035	110	48	200
4531	8	8	200
4606	1	1	200
4644	4	4	200
4702	110	48	200
4873	91	47	200
4909	2	2	200
4964	47	35	200
5127	200	0	200
5142	200	0	200
5178	11	11	200
5377	2	2	200
5625	1	1	200
5651	110	48	200
5696	28	18	200
5764	111	47	200
5800	25	23	200
5815	110	48	200
5819	92	46	200
5884	3	3	200
5905	5	5	200
5926	109	47	200
5928	90	48	200
5973	8	8	200
6056	58	42	200
6138	8	8	200
6155	7	5	200
6336	8	8	200
6375	10	10	200
6445	1	1	200
6550	27	21	200
70	16	16	156
204	1	1	196
205	32	32	156
252	1	1	188
298	18	18	144
332	1	1	192
417	100	98	200
499	1	1	182
588	98	98	200
629	1	1	194
740	16	16	156
822	59	59	152
849	53	51	148
899	16	14	158
970	1	1	182
1009	2	2	190
1105	63	63	164
1138	16	16	154
1165	43	41	144
1169	27	27	136
1219	3	3	184
1270	23	23	158
1380	13	13	144
1384	14	14	148
1554	17	17	164
1668	18	18	150
1673	8	8	180
1798	1	1	198
1812	11	11	146
1901	12	12	152
1902	1	1	200
51	200	0	200
247	200	0	200
298	2	2	200
351	1	1	200
485	39	31	200
501	160	32	200
693	85	33	200
992	1	1	200
1045	87	33	200
1226	32	26	200
1251	169	27	200
1252	31	27	200
1272	19	17	200
1299	159	31	200
1355	40	32	200
1367	40	32	200
1538	16	16	200
1601	1	1	200
1670	198	2	200
1674	198	2	200
1685	198	2	200
1868	190	10	200
1893	2	0	200
2041	178	16	200
2045	39	31	200
2213	12	10	200
2299	41	29	200
2380	160	32	200
2476	1	1	200
2487	23	17	200
2498	10	10	200
2571	20	18	200
2673	31	27	200
2714	23	17	200
2797	31	27	200
2922	1	1	200
2924	169	27	200
3010	170	26	200
3092	23	17	200
3113	160	32	200
3146	1	1	200
3163	23	17	200
3201	3	3	200
3253	1	1	200
3428	200	0	200
3457	6	6	200
3547	13	13	200
3687	40	32	200
4073	2	2	200
4261	41	31	200
4292	7	7	200
4509	86	34	200
5386	31	27	200
5389	200	0	200
5392	200	0	200
5407	200	0	200
9	5	5	200
24	142	38	200
93	200	0	200
198	1	1	200
219	1	1	200
258	56	38	200
286	16	16	200
325	72	52	200
348	57	39	200
393	143	39	200
437	141	37	200
570	57	39	200
747	143	39	200
11	43	43	146
14	4	4	190
44	97	97	198
0	0	0	0
20	98	98	200
26	1	1	188
86	10	10	174
90	102	98	200
44	100	50	200
185	100	50	200
198	103	49	200
266	26	22	200
308	62	44	200
327	200	0	200
353	12	12	200
455	200	0	200
474	11	11	200
482	9	9	200
592	25	21	200
1082	15	15	200
1155	12	12	200
1181	12	12	200
1197	3	3	200
1300	26	22	200
1599	2	2	200
1790	2	2	200
1806	75	45	200
1893	1	1	200
1942	61	43	200
1959	75	37	200
2158	125	47	200
2170	75	47	200
2173	26	22	200
2206	4	4	200
2208	125	47	200
2297	5	5	200
2789	188	12	200
2871	189	11	200
2871	1	1	200
2873	5	5	200
2892	29	27	200
2897	13	13	200
2911	13	13	200
2916	13	13	200
3007	3	3	200
3070	38	30	200
3169	26	22	200
3273	1	1	200
3289	14	12	200
3456	53	43	200
3639	154	34	200
3720	4	4	200
3806	1	1	200
3860	2	2	200
3914	103	49	200
3943	98	50	200
3964	99	51	200
3971	101	49	200
3997	9	9	200
4058	4	4	200
4065	100	50	200
4176	2	2	200
4370	169	29	200
4382	31	29	200
4384	31	29	200
4537	39	29	200
4577	61	43	200
4608	200	0	200
4704	18	16	200
4761	26	22	200
4808	40	28	200
4862	196	4	200
4869	95	51	200
4883	196	4	200
5024	173	21	200
5059	174	22	200
5142	3	3	200
5233	11	11	200
5294	191	9	200
5313	1	1	200
5383	12	12	200
5407	77	45	200
5532	27	23	200
5687	197	3	200
5691	72	44	200
5713	3	3	200
5762	3	3	200
5821	3	3	200
5823	3	3	200
5839	3	3	200
5866	26	20	200
6145	21	21	200
6206	2	2	200
6368	200	0	200
6376	200	0	200
6387	200	0	200
6472	2	2	200
6660	2	2	200
6663	5	5	200
6970	9	9	200
7236	19	15	200
7253	19	15	200
7335	13	13	200
7339	3	3	200
7532	25	25	200
7534	3	3	200
7910	4	4	200
7934	196	4	200
7995	98	52	200
8002	4	4	200
8021	97	49	200
8042	98	52	200
8049	1	1	200
8052	96	52	200
8268	199	1	200
8294	26	20	200
8296	199	1	200
8397	13	11	200
8460	25	25	200
8515	4	4	200
8562	99	51	200
8594	6	6	200
8729	74	46	200
8735	26	22	200
207	91	91	190
140	21	21	200
171	5	5	200
212	190	10	200
238	10	10	200
314	1	1	200
1110	3	3	200
1	17	17	150
15	15	15	200
113	2	2	200
187	91	51	200
254	177	19	200
58	4	4	192
609	7	7	164
689	1	1	200
158	2	2	200
329	6	6	200
479	1	1	200
527	1	1	200
568	3	3	200
74	1	1	196
133	48	48	148
321	2	2	190
359	1	1	198
364	6	6	164
477	101	99	200
625	1	1	196
640	34	34	152
659	98	98	200
664	99	97	200
667	23	23	142
679	100	100	200
701	33	33	126
938	6	6	162
964	1	1	200
1011	103	97	200
1120	16	16	158
1277	46	46	142
1308	96	96	200
1322	25	23	142
1395	3	3	188
1437	43	41	144
1604	44	44	142
1624	45	43	136
1688	23	23	138
1707	29	29	144
1724	6	6	194
1807	30	28	164
1893	100	100	200
1956	31	29	156
2070	8	8	148
177	8	8	200
189	200	0	200
523	26	18	200
613	25	17	200
826	185	13	200
841	3	3	200
851	15	13	200
939	14	12	200
989	15	13	200
1012	15	13	200
1049	200	0	200
1079	12	10	200
1286	189	11	200
1333	189	11	200
1371	190	10	200
1404	14	12	200
1561	3	3	200
1671	4	4	200
1708	8	8	200
1808	26	18	200
1897	5	5	200
1931	5	5	200
2155	5	5	200
2305	195	5	200
2322	5	5	200
2371	5	5	200
2414	2	2	200
2466	7	7	200
2586	4	4	200
2843	25	17	200
2866	1	1	200
2876	26	18	200
2922	174	18	200
2961	26	18	200
2962	174	18	200
2972	4	4	200
2991	26	18	200
2998	174	16	200
3034	173	17	200
3541	5	3	200
3559	8	8	200
3892	1	1	200
3925	4	4	200
4022	8	8	200
4132	186	12	200
4140	12	10	200
4172	188	10	200
4177	1	1	200
4204	185	11	200
4273	9	9	200
4352	14	12	200
4556	4	4	200
4581	200	0	200
4812	2	2	200
4845	198	2	200
4846	2	2	200
4850	198	2	200
4924	197	3	200
4971	1	1	200
5206	4	4	200
5324	200	0	200
5540	11	11	200
5620	1	1	200
5627	26	18	200
5826	8	8	200
5844	8	8	200
5932	11	11	200
6057	26	26	200
6069	174	26	200
6156	2	2	200
6212	26	26	200
6275	11	9	200
6426	176	24	200
6430	26	26	200
6438	26	26	200
6449	27	27	200
6507	2	2	200
6541	174	26	200
6632	200	0	200
6639	5	5	200
6802	3	3	200
7042	200	0	200
7050	15	11	200
7067	2	2	200
7117	8	6	200
7141	200	0	200
7185	166	26	200
7187	200	0	200
7231	15	13	200
7247	1	1	200
7252	200	0	200
7343	1	1	200
7366	1	1	200
7397	199	1	200
7598	8	8	200
7615	8	8	200
7624	8	8	200
7754	8	8	200
7755	26	18	200
8012	1	1	200
8042	3	1	200
8261	141	35	200
8416	2	2	200
8421	197	3	200
8574	1	1	200
8661	34	26	200
8723	33	25	200
8729	34	26	200
8730	96	48	200
8759	167	25	200
8779	165	25	200
8898	200	0	200
8953	200	0	200
9219	1	1	200
9316	1	1	200
9391	1	1	200
9485	1	1	200
9698	11	11	200
9816	26	26	200
9909	174	26	200
10011	26	26	200
10016	174	26	200
10247	11	11	200
10384	189	11	200
10389	27	17	200
10440	189	11	200
10451	11	11	200
10452	25	17	200
10645	200	0	200
10807	15	13	200
10813	190	10	200
10948	11	9	200
10950	200	0	200
10990	2	2	200
11009	200	0	200
11331	4	4	200
11333	174	18	200
11481	173	17	200
11483	4	4	200
11509	26	18	200
11512	26	26	200
11635	25	17	200
11638	174	18	200
12058	192	8	200
12232	165	25	200
12290	200	0	200
12316	200	0	200
12330	12	10	200
12457	1	1	200
12680	12	10	200
12703	11	11	200
12807	9	7	200
12822	8	8	200
12825	8	8	200
12839	8	8	200
12873	7	7	200
12876	192	8	200
13019	8	8	200
13033	192	8	200
13251	1	1	200
13551	15	11	200
13552	2	2	200
13670	26	18	200
13716	1	1	200
13730	175	17	200
13735	25	17	200
14087	14	12	200
14313	200	0	200
14449	9	7	200
14493	1	1	200
14509	2	2	200
14592	26	24	200
14738	96	48	200
14901	187	9	200
14935	187	9	200
15066	200	0	200
15283	200	0	200
15567	8	8	200
11	6	6	178
159	75	73	170
238	4	4	192
111	43	33	200
147	156	34	200
217	43	33	200
231	23	17	200
239	157	33	200
409	3	3	200
601	156	34	200
668	3	3	200
791	44	34	200
859	9	9	200
910	7	7	200
1040	3	3	200
1176	7	7	200
1232	12	12	200
1545	2	2	200
1582	1	1	200
1623	8	8	200
1659	7	7	200
1763	3	3	200
1816	156	34	200
1832	156	34	200
1838	27	21	200
1950	5	5	200
1980	5	5	200
2308	12	12	200
2315	2	2	200
2531	3	3	200
2542	3	3	200
2565	3	3	200
2609	3	3	200
2667	3	3	200
2689	197	3	200
2737	1	1	200
2795	1	1	200
2861	196	4	200
2894	4	4	200
3023	158	30	200
3036	156	34	200
3066	7	7	200
3201	2	2	200
3466	44	34	200
3491	7	7	200
3519	156	34	200
3581	156	34	200
3582	45	33	200
3605	46	32	200
3692	44	34	200
3902	1	1	200
4009	44	34	200
4186	2	2	200
4249	44	34	200
4273	28	22	200
4342	1	1	200
4425	5	5	200
4481	199	1	200
4486	1	1	200
4497	1	1	200
4526	3	3	200
4532	43	33	200
4595	27	23	200
4599	1	1	200
4602	9	9	200
4630	7	7	200
4679	7	7	200
4826	46	32	200
5175	44	34	200
5230	43	33	200
5233	200	0	200
5234	200	0	200
5272	7	7	200
5352	11	11	200
5570	34	28	200
5687	13	13	200
5780	158	32	200
5871	155	33	200
6188	156	34	200
6229	40	32	200
6259	1	1	200
6459	10	10	200
6480	44	34	200
6584	45	33	200
6690	7	7	200
6793	200	0	200
6876	43	33	200
6903	156	34	200
7010	7	7	200
7112	61	43	200
7162	44	34	200
7341	43	33	200
7448	200	0	200
7457	199	1	200
7541	200	0	200
7566	3	3	200
7615	5	5	200
7617	172	22	200
8101	5	5	200
8153	2	2	200
8365	157	33	200
8489	5	5	200
8501	195	5	200
8668	8	6	200
8783	173	23	200
8999	23	19	200
9044	5	5	200
9188	44	34	200
9190	27	23	200
9285	2	0	200
9414	5	5	200
9487	155	33	200
9758	45	33	200
9818	3	3	200
9833	1	1	200
9972	157	33	200
10050	37	31	200
10084	193	7	200
10125	7	7	200
10144	1	1	200
10427	2	2	200
10656	1	1	200
10879	157	33	200
10915	155	33	200
10944	1	1	200
10960	157	31	200
11046	199	1	200
11229	200	0	200
11240	200	0	200
11274	200	0	200
11299	200	0	200
11306	7	7	200
11345	1	1	200
6	5	5	182
148	1	1	198
263	11	11	162
303	7	7	176
415	9	9	176
423	35	35	144
454	3	3	168
462	4	4	180
494	5	5	170
528	28	28	142
534	1	1	192
541	96	96	192
606	43	43	156
822	13	13	164
901	5	5	172
977	87	85	184
1082	88	84	184
1141	68	68	158
1162	7	7	184
1182	2	2	200
1255	13	13	168
1281	6	6	170
1290	7	5	168
10	196	4	200
20	4	4	200
22	189	11	200
74	13	11	200
280	1	1	200
294	200	0	200
368	193	7	200
562	200	0	200
721	7	7	200
859	46	30	200
910	196	2	200
976	3	3	200
991	3	3	200
1020	3	3	200
1022	3	3	200
1024	3	3	200
1046	197	3	200
1098	197	3	200
1257	1	1	200
1336	14	12	200
1356	8	6	200
1391	7	7	200
1394	193	7	200
1764	200	0	200
1965	200	0	200
1967	193	7	200
2218	193	7	200
2439	1	1	200
2664	5	3	200
2688	193	7	200
2703	193	7	200
2716	7	7	200
2898	2	2	200
2901	7	7	200
2998	12	12	200
3018	193	7	200
3087	193	7	200
3204	193	7	200
3215	1	1	200
3222	1	1	200
3227	7	7	200
3325	4	4	200
3522	1	1	200
3697	4	4	200
3778	7	7	200
3790	1	1	200
4048	5	5	200
4088	193	7	200
4123	192	6	200
4215	190	10	200
4257	197	3	200
4269	3	3	200
4297	3	3	200
4424	5	5	200
4484	7	7	200
4613	7	7	200
4710	7	7	200
4795	200	0	200
5050	1	1	200
5139	40	30	200
5164	7	7	200
5170	4	4	200
5474	1	1	200
5485	7	7	200
5663	193	7	200
5889	14	12	200
5976	200	0	200
6027	200	0	200
6126	11	9	200
6243	192	6	200
6254	3	3	200
6280	1	1	200
6475	7	7	200
6516	193	7	200
6556	200	0	200
6596	193	7	200
6682	193	7	200
6719	193	7	200
6739	7	7	200
6745	8	6	200
6757	194	6	200
6791	6	6	200
6860	193	7	200
6906	193	7	200
7313	7	7	200
7397	3	3	200
7448	200	0	200
7634	200	0	200
7743	7	7	200
7882	1	1	200
7890	5	5	200
7973	1	1	200
8136	16	14	200
8464	7	7	200
8510	14	14	200
9123	5	5	200
9133	1	1	200
9227	2	2	200
9354	193	7	200
9411	7	7	200
9608	193	7	200
9631	193	7	200
9912	7	7	200
9936	7	7	200
10042	2	2	200
10180	81	47	200
10417	1	1	200
10484	7	7	200
10589	200	0	200
1	12	12	160
184	36	36	134
261	2	2	196
571	57	53	138
589	21	21	138
714	17	17	138
230	17	15	200
280	111	55	200
399	4	4	200
463	16	14	200
511	6	6	200
525	6	6	200
527	194	6	200
630	4	4	200
662	200	0	200
679	5	5	200
739	200	0	200
779	200	0	200
956	2	0	200
999	200	0	200
1051	9	9	200
1369	32	26	200
1422	1	1	200
1462	3	3	200
1566	105	59	200
1707	199	1	200
1734	199	1	200
1747	199	1	200
1758	93	57	200
1794	27	23	200
2028	112	56	200
2063	4	4	200
2253	56	40	200
2313	96	56	200
2561	31	27	200
2662	200	0	200
2860	57	43	200
2964	200	0	200
3308	34	30	200
3523	27	23	200
3550	4	4	200
3566	196	4	200
3898	12	10	200
3973	17	15	200
4008	183	15	200
4016	18	14	200
4112	184	14	200
4143	13	9	200
4149	34	30	200
4174	31	27	200
4183	5	5	200
4287	17	15	200
4354	3	3	200
4417	4	4	200
4454	4	4	200
4876	4	4	200
5162	1	1	200
5371	2	2	200
5418	113	55	200
5623	200	0	200
5731	200	0	200
5731	200	0	200
6084	31	27	200
6144	5	5	200
6312	57	43	200
6429	114	54	200
6651	142	42	200
6688	57	43	200
6692	58	42	200
6702	57	41	200
6723	143	43	200
6728	143	43	200
6741	57	43	200
6785	32	26	200
6858	111	55	200
7423	199	1	200
7489	6	6	200
7533	17	15	200
7768	1	1	200
8169	168	26	200
8174	169	27	200
8411	57	43	200
8682	200	0	200
8690	198	0	200
8812	1	1	200
8846	1	1	200
8977	17	15	200
9396	87	55	200
9417	90	54	200
9727	30	26	200
10213	31	27	200
10335	112	54	200
10590	5	5	200
10630	169	27	200
10971	18	14	200
11019	57	39	200
11086	17	15	200
11089	3	3	200
