pos	ac	het	n	block
6991	28	24	200	SC_b1
7004	6	6	200	SC_b1
7431	66	66	156	SV_b1
7520	1	1	200	SV_b1
7535	3	3	194	SV_b1
7960	3	3	200	SC_b2
8088	200	0	200	SC_b2
8181	14	14	200	SC_b2
8213	2	2	200	SC_b2
8459	139	41	200	SC_b2
8531	4	4	200	SC_b2
8693	59	41	200	SC_b2
8832	42	26	200	SC_b2
8844	160	26	200	SC_b2
8889	4	4	200	SC_b2
8963	1	1	200	SC_b2
9108	70	44	200	SC_b2
9139	38	26	200	SC_b2
9217	4	4	200	SC_b2
9523	89	47	200	SC_b2
9567	190	10	200	SC_b2
9622	2	2	200	SC_b2
9643	199	1	200	SC_b2
9668	1	1	200	SC_b2
9681	69	43	200	SC_b2
9719	1	1	200	SC_b2
9732	139	41	200	SC_b2
9744	199	1	200	SC_b2
9852	197	1	200	SC_b2
9864	2	2	200	SC_b2
9913	41	33	200	SC_b2
9916	61	39	200	SC_b2
10023	4	4	200	SC_b2
10061	1	1	200	SC_b2
10112	4	4	200	SC_b2
10124	200	0	200	SC_b2
10266	2	2	200	SC_b2
10403	101	49	200	SC_b2
10416	99	49	200	SC_b2
10424	99	49	200	SC_b2
10470	143	39	200	SC_b2
10494	60	42	200	SC_b2
10510	60	42	200	SC_b2
10531	60	42	200	SC_b2
10549	141	41	200	SC_b2
10602	41	33	200	SC_b2
10652	61	41	200	SC_b2
10687	61	41	200	SC_b2
10781	59	41	200	SC_b2
10818	200	0	200	SC_b2
10888	4	4	200	SC_b2
10892	10	10	200	SC_b2
10926	3	3	200	SC_b2
10994	60	42	200	SC_b2
11059	142	40	200	SC_b2
11218	14	14	200	SC_b2
11218	40	26	200	SC_b2
11231	200	0	200	SC_b2
11312	3	3	200	SC_b2
11329	19	17	200	SC_b2
11332	60	42	200	SC_b2
11394	14	14	200	SC_b2
11476	12	10	200	SC_b2
11577	60	42	200	SC_b2
11617	62	42	200	SC_b2
11740	139	41	200	SC_b2
11781	3	3	200	SC_b2
11827	8	8	200	SC_b2
11830	59	41	200	SC_b2
12065	41	33	200	SC_b2
12094	15	15	200	SC_b2
12171	18	16	200	SC_b2
12253	59	41	200	SC_b2
12278	1	1	200	SC_b2
12460	7	7	200	SC_b2
12469	4	4	200	SC_b2
12471	196	4	200	SC_b2
12564	12	12	200	SC_b2
12657	142	40	200	SC_b2
12778	14	14	200	SC_b2
12893	41	33	200	SC_b2
12967	2	2	200	SC_b2
13001	41	27	200	SC_b2
13219	70	42	200	SC_b2
13386	2	2	200	SC_b2
13429	200	0	200	SC_b2
13531	189	9	200	SC_b2
13654	19	17	200	SC_b2
13670	142	40	200	SC_b2
13808	15	15	200	SC_b2
13903	41	33	200	SC_b2
13950	4	4	200	SC_b2
14073	41	33	200	SC_b2
14138	3	3	200	SC_b2
14171	1	1	200	SC_b2
14200	140	40	200	SC_b2
14343	140	40	200	SC_b2
14352	2	2	200	SC_b2
14464	1	1	200	SC_b2
14480	14	14	200	SC_b2
14761	61	41	200	SC_b2
14933	1	1	200	SC_b2
14998	125	43	200	SC_b2
15020	61	41	200	SC_b2
15053	2	2	200	SC_b2
15090	2	2	200	SC_b2
15150	198	2	200	SC_b2
15153	198	2	200	SC_b2
15164	1	1	200	SC_b2
15171	198	2	200	SC_b2
15217	58	40	200	SC_b2
15227	2	2	200	SC_b2
15295	59	41	200	SC_b2
15370	60	42	200	SC_b2
15511	60	42	200	SC_b2
15602	16	14	200	SC_b2
15692	5	5	182	SV_b2
15818	4	4	174	SV_b2
15855	5	5	182	SV_b2
15995	198	2	200	SC_b3
16034	2	2	200	SC_b3
16200	40	30	200	SC_b3
16377	2	2	200	SC_b3
16547	181	17	200	SC_b3
16620	181	17	200	SC_b3
16642	18	16	200	SC_b3
16851	198	2	200	SC_b3
16877	2	2	200	SC_b3
17008	2	2	200	SC_b3
17012	198	2	200	SC_b3
17117	196	4	200	SC_b3
17118	4	4	200	SC_b3
17136	196	4	200	SC_b3
17211	2	2	200	SC_b3
17233	198	2	200	SC_b3
17250	2	2	200	SC_b3
17496	155	39	200	SC_b3
17703	26	26	200	SC_b3
17733	2	2	200	SC_b3
18048	125	49	200	SC_b3
18078	24	24	200	SC_b3
18188	47	41	200	SC_b3
18308	26	26	200	SC_b3
18335	199	1	200	SC_b3
18440	125	47	200	SC_b3
18462	200	0	200	SC_b3
18653	124	48	200	SC_b3
18967	61	61	148	SV_b3
18984	6	6	180	SV_b3
19056	3	3	198	SV_b3
19067	10	10	138	SV_b3
19100	4	4	192	SV_b3
19173	2	2	190	SV_b3
19244	35	35	130	SV_b3
19599	80	80	174	SV_b3
19620	1	1	198	SV_b3
19790	15	15	148	SV_b3
19828	14	14	142	SV_b3
19850	56	54	136	SV_b3
19852	13	13	140	SV_b3
19873	2	2	198	SV_b3
19947	61	59	148	SV_b3
20063	6	6	158	SV_b3
20154	7	7	192	SV_b3
20181	36	36	140	SV_b3
20212	12	12	134	SV_b3
20246	1	1	198	SV_b3
20279	28	28	136	SV_b3
20309	7	7	174	SV_b3
20327	58	56	142	SV_b3
20343	8	8	166	SV_b3
20345	57	55	146	SV_b3
20349	41	41	150	SV_b3
20364	46	46	152	SV_b3
20427	1	1	196	SV_b3
20463	2	2	200	SV_b3
20465	3	3	184	SV_b3
20488	3	3	170	SV_b3
20531	3	3	170	SV_b3
20619	1	1	196	SV_b3
20624	2	2	188	SV_b3
20784	99	99	200	SV_b3
20808	8	8	166	SV_b3
20848	4	4	166	SV_b3
20852	1	1	192	SV_b3
20916	33	33	132	SV_b3
20946	21	21	160	SV_b3
20986	7	7	168	SV_b3
21098	55	55	138	SV_b3
21138	101	97	200	SV_b3
21162	60	58	148	SV_b3
21172	58	56	142	SV_b3
21191	54	52	130	SV_b3
21199	16	16	144	SV_b3
21209	56	56	146	SV_b3
21306	14	14	144	SV_b3
21329	1	1	200	SV_b3
21422	20	18	200	SC_b4
21443	6	6	200	SC_b4
21451	2	2	200	SC_b4
21537	19	17	200	SC_b4
21562	12	12	200	SC_b4
21643	20	18	200	SC_b4
21711	22	20	200	SC_b4
21743	158	32	200	SC_b4
21816	180	18	200	SC_b4
21895	200	0	200	SC_b4
22005	200	0	200	SC_b4
22082	21	17	200	SC_b4
22593	1	1	200	SC_b4
22815	21	19	200	SC_b4
22851	179	19	200	SC_b4
23092	6	6	190	SV_b4
23179	98	98	200	SV_b4
23193	102	98	200	SV_b4
23238	12	12	168	SV_b4
23255	1	1	198	SV_b4
23378	1	1	192	SV_b4
23578	4	4	174	SV_b4
23607	5	5	190	SV_b4
23680	4	4	196	SV_b4
23786	1	1	200	SV_b4
23876	77	77	168	SV_b4
23915	90	84	192	SV_b4
23934	31	31	140	SV_b4
23999	14	14	160	SV_b4
24141	4	4	182	SV_b4
24163	6	6	200	SC_b5
24241	2	2	200	SC_b5
24269	18	16	200	SC_b5
24282	193	5	200	SC_b5
24332	2	2	200	SC_b5
24334	200	0	200	SC_b5
24406	117	47	200	SC_b5
24594	42	32	200	SC_b5
24704	75	41	200	SC_b5
24767	9	9	200	SC_b5
24911	25	21	200	SC_b5
25264	2	2	200	SC_b5
25281	3	3	200	SC_b5
25948	152	38	200	SC_b5
25964	46	36	200	SC_b5
26048	48	38	200	SC_b5
26229	118	48	200	SC_b5
26359	200	0	200	SC_b5
26365	200	0	200	SC_b5
26385	17	13	200	SC_b5
26636	7	7	200	SC_b5
26928	2	2	200	SC_b5
27010	198	2	200	SC_b5
27013	198	2	200	SC_b5
27101	11	9	200	SC_b5
27136	2	2	200	SC_b5
27151	12	12	200	SC_b5
27217	84	46	200	SC_b5
27224	117	47	200	SC_b5
27263	82	48	200	SC_b5
27279	118	48	200	SC_b5
27373	1	1	200	SC_b5
27423	18	16	200	SC_b5
27559	1	1	200	SC_b5
27894	2	2	200	SC_b5
28133	5	3	200	SC_b5
28210	121	45	200	SC_b5
28236	118	48	200	SC_b5
28314	2	2	200	SC_b5
28371	5	5	200	SC_b5
28521	48	38	200	SC_b5
28546	74	42	200	SC_b5
28764	2	2	200	SC_b5
28894	73	43	200	SC_b5
28936	6	6	200	SC_b5
29153	118	48	200	SC_b5
29198	14	12	200	SC_b5
29312	119	47	200	SC_b5
29511	3	3	200	SC_b5
29597	1	1	200	SC_b5
29757	13	13	200	SC_b5
29786	186	12	200	SC_b5
30123	3	3	200	SC_b5
30138	82	48	200	SC_b5
30251	2	2	200	SC_b5
30261	6	6	200	SC_b5
30447	200	0	200	SC_b5
30812	200	0	200	SC_b5
30868	200	0	200	SC_b5
31105	200	0	200	SC_b5
31213	25	21	200	SC_b5
31409	1	1	200	SC_b5
32127	1	1	200	SC_b5
32201	2	2	200	SC_b5
32277	7	5	200	SC_b5
32279	200	0	200	SC_b5
32559	14	12	200	SC_b5
32585	1	1	200	SC_b5
32592	2	2	200	SC_b5
32648	1	1	200	SC_b5
32711	8	6	200	SC_b5
32788	2	2	200	SC_b5
32937	117	47	200	SC_b5
33541	26	22	200	SC_b5
33563	2	2	200	SC_b5
33664	187	13	200	SC_b5
33730	13	13	200	SC_b5
33735	187	13	200	SC_b5
33860	118	48	200	SC_b5
34279	19	15	200	SC_b5
34289	200	0	200	SC_b5
34310	45	35	200	SC_b5
34433	3	3	200	SC_b5
34462	82	48	200	SC_b5
34559	200	0	200	SC_b5
34589	2	2	200	SC_b5
35081	117	47	200	SC_b5
35217	81	47	200	SC_b5
35293	200	0	200	SC_b5
35314	81	47	200	SC_b5
35379	200	0	200	SC_b5
35418	200	0	200	SC_b5
35909	16	14	200	SC_b5
36038	120	46	200	SC_b5
36169	2	2	200	SC_b5
36322	5	5	200	SC_b5
36437	1	1	200	SC_b5
36459	1	1	200	SC_b5
36534	25	21	200	SC_b5
36603	1	1	200	SC_b5
36641	1	1	200	SC_b5
36707	1	1	200	SC_b5
36796	26	22	200	SC_b5
37446	33	27	200	SC_b5
37517	197	3	200	SC_b5
37643	3	3	200	SC_b5
38050	200	0	200	SC_b5
38137	6	2	200	SC_b5
38183	81	47	200	SC_b5
38400	200	0	200	SC_b5
38505	8	8	200	SC_b5
38555	2	2	200	SC_b5
38571	1	1	200	SC_b5
38686	10	8	200	SC_b5
38958	2	2	200	SC_b5
38984	200	0	200	SC_b5
39057	200	0	200	SC_b5
39156	200	0	200	SC_b5
39179	200	0	200	SC_b5
39219	200	0	200	SC_b5
39452	200	0	200	SC_b5
39506	6	6	200	SC_b5
40278	58	58	154	SV_b5
40382	1	1	192	SV_b5
40448	6	6	178	SV_b5
40651	3	3	186	SV_b5
40679	2	2	200	SV_b5
40815	1	1	200	SC_b6
40940	3	3	200	SC_b6
40947	29	27	200	SC_b6
40993	170	28	200	SC_b6
41007	29	27	200	SC_b6
41009	8	8	200	SC_b6
41052	1	1	200	SC_b6
41118	1	1	200	SC_b6
41180	31	27	200	SC_b6
41233	31	27	200	SC_b6
41259	30	28	200	SC_b6
41522	30	28	200	SC_b6
41546	166	26	200	SC_b6
41555	29	27	200	SC_b6
41591	167	27	200	SC_b6
41606	167	27	200	SC_b6
41863	8	8	200	SC_b6
42089	170	28	200	SC_b6
42139	63	49	200	SC_b6
42197	1	1	200	SC_b6
42228	3	3	200	SC_b6
42266	200	0	200	SC_b6
42286	170	28	200	SC_b6
42411	199	1	200	SC_b6
42468	2	0	200	SC_b6
42512	30	26	200	SC_b6
42617	30	28	200	SC_b6
42641	1	1	200	SC_b6
42740	34	30	200	SC_b6
42750	30	28	200	SC_b6
42844	6	6	200	SC_b6
42857	31	29	200	SC_b6
42858	169	29	200	SC_b6
42864	169	29	200	SC_b6
42871	34	26	200	SC_b6
42895	5	5	200	SC_b6
42904	48	36	200	SC_b6
43015	8	8	200	SC_b6
43019	170	28	200	SC_b6
43139	30	28	200	SC_b6
43152	171	27	200	SC_b6
43154	30	28	200	SC_b6
43189	126	62	200	SC_b6
43314	1	1	200	SC_b6
43346	1	1	200	SC_b6
43356	66	50	200	SC_b6
43608	1	1	200	SC_b6
43968	30	28	200	SC_b6
43983	169	27	200	SC_b6
44125	27	25	200	SC_b6
44192	55	45	200	SC_b6
44308	2	2	200	SC_b6
44405	31	27	200	SC_b6
44441	169	27	200	SC_b6
44444	30	28	200	SC_b6
44651	15	11	200	SC_b6
44863	170	28	200	SC_b6
44934	30	28	200	SC_b6
44935	170	28	200	SC_b6
45091	171	27	200	SC_b6
45152	169	27	200	SC_b6
45306	3	3	200	SC_b6
45384	1	1	200	SC_b6
45593	1	1	200	SC_b6
45814	30	28	200	SC_b6
45845	38	32	200	SC_b6
45965	29	27	200	SC_b6
45980	170	28	200	SC_b6
46033	2	2	200	SC_b6
46077	43	35	200	SC_b6
46286	5	5	200	SC_b6
46294	6	6	200	SC_b6
46526	3	3	200	SC_b6
46584	1	1	200	SC_b6
46650	169	27	200	SC_b6
46735	1	1	200	SC_b6
47091	171	27	200	SC_b6
47113	45	35	200	SC_b6
47389	1	1	200	SC_b6
47420	7	7	200	SC_b6
47439	1	1	200	SC_b6
47463	170	28	200	SC_b6
47524	30	28	200	SC_b6
47532	64	50	200	SC_b6
47548	66	50	200	SC_b6
47714	8	8	200	SC_b6
48000	18	18	200	SC_b6
48136	30	28	200	SC_b6
48399	170	28	200	SC_b6
48461	200	0	200	SC_b6
48495	1	1	200	SC_b6
48526	31	27	200	SC_b6
48562	9	9	200	SC_b6
48581	1	1	200	SC_b6
48596	126	58	200	SC_b6
48738	1	1	200	SC_b6
48759	171	27	200	SC_b6
48855	136	52	200	SC_b6
48876	136	48	200	SC_b6
48917	64	52	200	SC_b6
48952	105	53	200	SC_b6
48983	64	52	200	SC_b6
49056	53	45	200	SC_b6
49107	170	28	200	SC_b6
49174	45	35	200	SC_b6
49216	200	0	200	SC_b6
49243	200	0	200	SC_b6
49254	30	28	200	SC_b6
49335	34	26	200	SC_b6
49381	2	2	200	SC_b6
49626	1	1	200	SC_b6
49758	171	27	200	SC_b6
49782	30	28	200	SC_b6
49806	54	44	200	SC_b6
50018	44	36	200	SC_b6
50079	1	1	200	SC_b6
50090	8	8	200	SC_b6
50122	1	1	200	SC_b6
50147	1	1	200	SC_b6
50151	30	26	200	SC_b6
50396	170	28	200	SC_b6
50436	3	3	200	SC_b6
50523	170	28	200	SC_b6
50562	30	28	200	SC_b6
50569	53	45	200	SC_b6
50850	5	5	200	SC_b6
50925	170	28	200	SC_b6
50949	9	9	200	SC_b6
51065	168	26	200	SC_b6
51390	48	36	200	SC_b6
51448	197	3	200	SC_b6
51483	3	3	200	SC_b6
51488	167	31	200	SC_b6
51681	1	1	200	SC_b6
51716	170	28	200	SC_b6
51727	43	35	200	SC_b6
51882	30	28	200	SC_b6
52222	169	27	200	SC_b6
52265	30	28	200	SC_b6
52386	170	28	200	SC_b6
52427	116	46	200	SC_b6
52459	53	45	200	SC_b6
52466	55	45	200	SC_b6
52482	53	45	200	SC_b6
52509	116	46	200	SC_b6
52582	31	27	200	SC_b6
52745	30	28	200	SC_b6
52945	200	0	200	SC_b6
52995	200	0	200	SC_b6
53062	30	28	200	SC_b6
53116	27	25	200	SC_b6
53321	30	28	200	SC_b6
53577	200	0	200	SC_b6
53581	62	46	200	SC_b6
53594	200	0	200	SC_b6
53882	200	0	200	SC_b6
53916	3	3	200	SC_b6
53926	200	0	200	SC_b6
53930	1	1	200	SC_b6
53953	200	0	200	SC_b6
53988	1	1	200	SC_b6
54037	44	36	200	SC_b6
54166	44	36	200	SC_b6
54170	1	1	200	SC_b6
54196	31	27	200	SC_b6
54343	31	27	200	SC_b6
54375	1	1	200	SC_b6
54509	14	14	200	SC_b6
54587	30	28	200	SC_b6
54606	5	5	200	SC_b6
54749	30	28	200	SC_b6
54750	170	28	200	SC_b6
54754	169	27	200	SC_b6
54800	30	28	200	SC_b6
54803	30	28	200	SC_b6
54895	170	26	200	SC_b6
54924	171	27	200	SC_b6
54938	171	27	200	SC_b6
54943	29	27	200	SC_b6
54973	30	28	200	SC_b6
55117	3	3	200	SC_b6
55118	170	26	200	SC_b6
55210	169	27	200	SC_b6
55233	31	27	200	SC_b6
55310	6	4	200	SC_b6
55330	1	1	200	SC_b6
55508	1	1	200	SC_b6
55910	30	28	200	SC_b6
55961	170	28	200	SC_b6
56130	200	0	200	SC_b6
56178	3	3	200	SC_b6
56313	1	1	200	SC_b6
56328	1	1	200	SC_b6
56382	31	25	200	SC_b6
56385	200	0	200	SC_b6
56391	29	27	200	SC_b6
56658	6	6	200	SC_b6
56662	6	6	200	SC_b6
56665	194	6	200	SC_b6
56704	194	6	200	SC_b6
56705	1	1	200	SC_b6
56755	168	30	200	SC_b6
56757	3	3	200	SC_b6
56804	35	27	200	SC_b6
56820	19	19	200	SC_b6
56924	29	27	200	SC_b6
57013	1	1	200	SC_b6
57021	1	1	200	SC_b6
57033	199	1	200	SC_b6
57061	1	1	200	SC_b6
57072	1	1	200	SC_b6
57126	5	5	200	SC_b6
57153	31	29	200	SC_b6
57181	30	28	200	SC_b6
57218	199	1	200	SC_b6
57272	170	28	200	SC_b6
57292	170	28	200	SC_b6
57320	6	4	200	SC_b6
57378	2	2	200	SC_b6
57518	124	60	200	SC_b6
57664	5	5	200	SC_b6
57749	9	9	200	SC_b6
57807	30	28	200	SC_b6
58061	30	28	200	SC_b6
58225	170	28	200	SC_b6
58353	30	28	200	SC_b6
58368	170	28	200	SC_b6
58487	3	3	200	SC_b6
58500	44	36	200	SC_b6
58504	61	45	200	SC_b6
58630	1	1	200	SC_b6
58712	200	0	200	SC_b6
58888	1	1	200	SC_b6
59061	23	21	200	SC_b6
59065	23	21	200	SC_b6
59239	13	13	200	SC_b6
59266	1	1	200	SC_b6
59351	151	39	200	SC_b6
59359	30	28	200	SC_b6
59364	31	27	200	SC_b6
59374	123	61	200	SC_b6
59378	5	5	200	SC_b6
59405	156	36	200	SC_b6
59413	5	5	200	SC_b6
59425	31	27	200	SC_b6
59533	45	33	200	SC_b6
59534	1	1	200	SC_b6
59541	50	38	200	SC_b6
59560	149	37	200	SC_b6
59623	194	4	200	SC_b6
59730	44	34	200	SC_b6
59785	31	29	200	SC_b6
59836	1	1	200	SC_b6
60083	5	5	200	SC_b6
60435	7	5	200	SC_b7
60487	7	5	200	SC_b7
60517	193	5	200	SC_b7
60525	193	5	200	SC_b7
60544	192	6	200	SC_b7
60547	0	0	200	SC_b7
60572	45	37	200	SC_b7
60657	1	1	200	SC_b7
60669	199	1	200	SC_b7
60673	199	1	200	SC_b7
60722	88	48	200	SC_b7
60751	199	1	200	SC_b7
60769	23	17	200	SC_b7
60788	1	1	200	SC_b7
60800	1	1	200	SC_b7
60816	4	4	200	SC_b7
60875	200	0	200	SC_b7
60959	200	0	200	SC_b7
61006	4	4	200	SC_b7
61130	4	4	200	SC_b7
61256	200	0	200	SC_b7
61435	1	1	200	SC_b7
61824	200	0	200	SC_b7
61826	200	0	200	SC_b7
61831	200	0	200	SC_b7
61862	111	47	200	SC_b7
61867	109	47	200	SC_b7
62440	1	1	200	SC_b7
62634	4	4	200	SC_b7
62636	1	1	200	SC_b7
62664	7	7	200	SC_b7
62792	4	4	200	SC_b7
62888	99	53	200	SC_b7
62922	1	1	200	SC_b7
62987	200	0	200	SC_b7
63012	45	37	200	SC_b7
63170	2	2	200	SC_b7
63190	4	2	200	SC_b7
63275	4	2	200	SC_b7
63288	4	2	200	SC_b7
63301	37	25	200	SC_b7
63420	4	4	200	SC_b7
63446	111	47	200	SC_b7
63542	200	0	200	SC_b7
63587	1	1	200	SC_b7
63875	8	4	200	SC_b7
64074	1	1	200	SC_b7
64115	109	47	200	SC_b7
64461	110	48	200	SC_b7
64957	8	8	200	SC_b7
65032	1	1	200	SC_b7
65070	4	4	200	SC_b7
65128	110	48	200	SC_b7
65299	91	47	200	SC_b7
65335	2	2	200	SC_b7
65390	47	35	200	SC_b7
65553	200	0	200	SC_b7
65568	200	0	200	SC_b7
65604	11	11	200	SC_b7
65803	2	2	200	SC_b7
66051	1	1	200	SC_b7
66077	110	48	200	SC_b7
66122	28	18	200	SC_b7
66190	111	47	200	SC_b7
66226	25	23	200	SC_b7
66241	110	48	200	SC_b7
66245	92	46	200	SC_b7
66310	3	3	200	SC_b7
66331	5	5	200	SC_b7
66352	109	47	200	SC_b7
66354	90	48	200	SC_b7
66399	8	8	200	SC_b7
66482	58	42	200	SC_b7
66564	8	8	200	SC_b7
66581	7	5	200	SC_b7
66762	8	8	200	SC_b7
66801	10	10	200	SC_b7
66871	1	1	200	SC_b7
66976	27	21	200	SC_b7
67052	16	16	156	SV_b7
67186	1	1	196	SV_b7
67187	32	32	156	SV_b7
67234	1	1	188	SV_b7
67280	18	18	144	SV_b7
67314	1	1	192	SV_b7
67399	100	98	200	SV_b7
67481	1	1	182	SV_b7
67570	98	98	200	SV_b7
67611	1	1	194	SV_b7
67722	16	16	156	SV_b7
67804	59	59	152	SV_b7
67831	53	51	148	SV_b7
67881	16	14	158	SV_b7
67952	1	1	182	SV_b7
67991	2	2	190	SV_b7
68087	63	63	164	SV_b7
68120	16	16	154	SV_b7
68147	43	41	144	SV_b7
68151	27	27	136	SV_b7
68201	3	3	184	SV_b7
68252	23	23	158	SV_b7
68362	13	13	144	SV_b7
68366	14	14	148	SV_b7
68536	17	17	164	SV_b7
68650	18	18	150	SV_b7
68655	8	8	180	SV_b7
68780	1	1	198	SV_b7
68794	11	11	146	SV_b7
68883	12	12	152	SV_b7
68884	1	1	200	SV_b7
69010	200	0	200	SC_b8
69206	200	0	200	SC_b8
69257	2	2	200	SC_b8
69310	1	1	200	SC_b8
69444	39	31	200	SC_b8
69460	160	32	200	SC_b8
69652	85	33	200	SC_b8
69951	1	1	200	SC_b8
70004	87	33	200	SC_b8
70185	32	26	200	SC_b8
70210	169	27	200	SC_b8
70211	31	27	200	SC_b8
70231	19	17	200	SC_b8
70258	159	31	200	SC_b8
70314	40	32	200	SC_b8
70326	40	32	200	SC_b8
70497	16	16	200	SC_b8
70560	1	1	200	SC_b8
70629	198	2	200	SC_b8
70633	198	2	200	SC_b8
70644	198	2	200	SC_b8
70827	190	10	200	SC_b8
70852	2	0	200	SC_b8
71000	178	16	200	SC_b8
71004	39	31	200	SC_b8
71172	12	10	200	SC_b8
71258	41	29	200	SC_b8
71339	160	32	200	SC_b8
71435	1	1	200	SC_b8
71446	23	17	200	SC_b8
71457	10	10	200	SC_b8
71530	20	18	200	SC_b8
71632	31	27	200	SC_b8
71673	23	17	200	SC_b8
71756	31	27	200	SC_b8
71881	1	1	200	SC_b8
71883	169	27	200	SC_b8
71969	170	26	200	SC_b8
72051	23	17	200	SC_b8
72072	160	32	200	SC_b8
72105	1	1	200	SC_b8
72122	23	17	200	SC_b8
72160	3	3	200	SC_b8
72212	1	1	200	SC_b8
72387	200	0	200	SC_b8
72416	6	6	200	SC_b8
72506	13	13	200	SC_b8
72646	40	32	200	SC_b8
73032	2	2	200	SC_b8
73220	41	31	200	SC_b8
73251	7	7	200	SC_b8
73468	86	34	200	SC_b8
74345	31	27	200	SC_b8
74348	200	0	200	SC_b8
74351	200	0	200	SC_b8
74366	200	0	200	SC_b8
74439	5	5	200	SC_b9
74454	142	38	200	SC_b9
74523	200	0	200	SC_b9
74628	1	1	200	SC_b9
74649	1	1	200	SC_b9
74688	56	38	200	SC_b9
74716	16	16	200	SC_b9
74755	72	52	200	SC_b9
74778	57	39	200	SC_b9
74823	143	39	200	SC_b9
74867	141	37	200	SC_b9
75000	57	39	200	SC_b9
75177	143	39	200	SC_b9
75309	43	43	146	SV_b9
75312	4	4	190	SV_b9
75342	97	97	198	SV_b9
75404	0	0	0	SC_b10
75723	98	98	200	SV_b10
75729	1	1	188	SV_b10
75789	10	10	174	SV_b10
75793	102	98	200	SV_b10
75880	100	50	200	SC_b11
76021	100	50	200	SC_b11
76034	103	49	200	SC_b11
76102	26	22	200	SC_b11
76144	62	44	200	SC_b11
76163	200	0	200	SC_b11
76189	12	12	200	SC_b11
76291	200	0	200	SC_b11
76310	11	11	200	SC_b11
76318	9	9	200	SC_b11
76428	25	21	200	SC_b11
76918	15	15	200	SC_b11
76991	12	12	200	SC_b11
77017	12	12	200	SC_b11
77033	3	3	200	SC_b11
77136	26	22	200	SC_b11
77435	2	2	200	SC_b11
77626	2	2	200	SC_b11
77642	75	45	200	SC_b11
77729	1	1	200	SC_b11
77778	61	43	200	SC_b11
77795	75	37	200	SC_b11
77994	125	47	200	SC_b11
78006	75	47	200	SC_b11
78009	26	22	200	SC_b11
78042	4	4	200	SC_b11
78044	125	47	200	SC_b11
78133	5	5	200	SC_b11
78625	188	12	200	SC_b11
78707	189	11	200	SC_b11
78707	1	1	200	SC_b11
78709	5	5	200	SC_b11
78728	29	27	200	SC_b11
78733	13	13	200	SC_b11
78747	13	13	200	SC_b11
78752	13	13	200	SC_b11
78843	3	3	200	SC_b11
78906	38	30	200	SC_b11
79005	26	22	200	SC_b11
79109	1	1	200	SC_b11
79125	14	12	200	SC_b11
79292	53	43	200	SC_b11
79475	154	34	200	SC_b11
79556	4	4	200	SC_b11
79642	1	1	200	SC_b11
79696	2	2	200	SC_b11
79750	103	49	200	SC_b11
79779	98	50	200	SC_b11
79800	99	51	200	SC_b11
79807	101	49	200	SC_b11
79833	9	9	200	SC_b11
79894	4	4	200	SC_b11
79901	100	50	200	SC_b11
80012	2	2	200	SC_b11
80206	169	29	200	SC_b11
